Freq,size,media,max_fft,min_freq,max_freq,Freq-min,max-Freq,OK
311.12,7,1794,16885,302,314,8,3,1
277.184,6,205,634,271,283,5,6,0
370.0,8,157,391,361,375,8,5,0
311.12,7,1359,16547,302,316,8,5,1
293.664,6,3743,16434,287,298,6,5,1
329.632,7,282,10121,324,335,5,6,1
349.232,7,530,1302,343,355,5,6,1
277.184,5,121,173,271,279,5,2,0
349.232,7,895,18254,341,353,7,4,1
329.632,9,505,17994,322,337,7,8,1
311.12,7,727,8633,302,316,8,5,1
293.664,6,1166,2342,289,298,4,5,1
392.0,6,188,387,382,402,9,10,0
246.944,1,163,163,240,240,6,-6,0
311.12,8,1308,20515,302,318,8,7,1
293.664,7,1889,16921,287,298,6,5,1
349.232,9,331,11844,339,355,9,6,1
329.632,9,575,7692,322,337,7,8,1
277.184,5,144,261,269,283,7,6,0
370.0,3,152,219,367,371,2,1,0
246.944,1,99,99,251,251,-5,5,0
329.632,9,417,16766,322,337,7,8,1
293.664,8,1081,15696,287,300,6,7,1
349.232,8,378,10965,341,355,7,6,1
311.12,7,316,1748,302,316,8,5,1
277.184,3,443,761,273,277,3,0,0
392.0,3,344,401,382,386,9,-5,0
246.944,1,134,134,240,240,6,-6,0
311.12,8,832,19375,304,318,6,7,1
349.232,9,279,18555,339,355,9,6,1
329.632,7,673,5155,324,335,5,6,1
293.664,6,621,4227,287,296,6,3,1
277.184,4,328,489,271,277,5,0,0
329.632,9,578,16690,322,337,7,8,1
293.664,8,655,11042,287,300,6,7,1
311.12,8,322,8354,302,316,8,5,1
349.232,5,906,2380,345,353,3,4,1
277.184,2,342,384,273,275,3,-1,0
370.0,3,174,296,365,369,4,0,0
349.232,9,562,19926,339,355,9,6,1
293.664,8,1144,18799,287,300,6,7,1
311.12,8,856,14262,304,318,6,7,1
329.632,7,166,3288,322,337,7,8,1
370.0,3,146,251,365,369,4,0,0
392.0,3,114,236,382,386,9,-5,0
277.184,3,116,211,273,277,3,0,0
329.632,8,749,17996,324,337,5,8,1
311.12,7,537,15079,304,316,6,5,1
293.664,7,249,8679,287,298,6,5,1
349.232,7,750,6908,343,355,5,6,1
277.184,2,231,282,275,277,1,0,0
370.0,4,122,245,363,369,6,0,0
392.0,2,98,112,386,402,5,10,0
233.08,1,107,107,238,238,-5,5,0
349.232,9,376,15943,339,357,9,8,1
293.664,5,1808,8285,289,296,4,3,1
311.12,7,1425,6645,304,316,6,5,1
329.632,7,563,1043,324,335,5,6,1
370.0,4,185,326,363,373,6,3,0
277.184,4,167,255,269,277,7,0,0
392.0,3,143,223,384,400,7,8,0
329.632,7,1494,19759,324,337,5,8,1
311.12,6,4163,19250,306,316,4,5,1
293.664,6,3975,18557,289,298,4,5,1
349.232,5,5515,15859,345,353,3,4,1
370.0,2,97,110,367,369,2,0,0
622.24,2,90,100,605,623,16,0,0
277.184,1,75,75,271,271,5,-5,0
293.664,6,3433,13649,287,296,6,3,1
349.232,6,1724,6599,341,351,7,2,1
311.12,5,577,2210,302,314,8,3,1
329.632,8,289,1642,322,335,7,6,1
277.184,4,282,484,273,283,3,6,0
370.0,7,198,414,361,373,8,3,0
392.0,4,120,265,382,388,9,-3,0
246.944,2,89,90,240,251,6,5,0
329.632,7,2042,20139,326,337,3,8,1
349.232,9,273,19995,339,355,9,6,1
